Category,Word,Frequency,Sentiment,Month
Museums,masterpiece,58,-0.35,2020-11
Museums,masterpiece,70,0.9,2020-12
Museums,masterpiece,68,0.9,2020-12
Museums,masterpiece,70,0.9,2020-12
Museums,collection,61,0.59,2020-01
Museums,collection,53,0.59,2020-01
Museums,collection,56,-0.18,2020-02
Museums,collection,59,-0.18,2020-02
Museums,collection,69,-0.21,2020-03
Museums,collection,61,-0.21,2020-03
Museums,collection,51,-0.63,2020-04
Museums,collection,56,-0.63,2020-04
Museums,collection,55,-0.15,2020-05
Museums,collection,52,-0.15,2020-05
Museums,collection,62,-0.48,2020-06
Museums,collection,67,-0.48,2020-06
Museums,collection,63,0.64,2020-07
Museums,collection,65,0.64,2020-07
Museums,collection,73,0.88,2020-08
Museums,collection,73,0.88,2020-08
Museums,collection,72,0.21,2020-09
Museums,collection,67,0.21,2020-09
Museums,collection,50,0.65,2020-10
Museums,collection,51,0.65,2020-10
Museums,collection,60,0.42,2020-11
Museums,collection,63,0.42,2020-11
Museums,collection,64,0.27,2020-12
Museums,collection,62,0.27,2020-12
Museums,artifact,51,-0.54,2020-01
Museums,artifact,50,-0.54,2020-01
Museums,artifact,53,0.74,2020-02
Museums,artifact,53,0.74,2020-02
Museums,artifact,61,-0.61,2020-03
Museums,artifact,63,-0.61,2020-03
Museums,artifact,51,-0.57,2020-04
Museums,artifact,55,-0.57,2020-04
Museums,artifact,55,-0.51,2020-05
Museums,artifact,56,-0.51,2020-05
Museums,artifact,64,-0.45,2020-06
Museums,artifact,65,-0.45,2020-06
Museums,artifact,48,-0.77,2020-07
Museums,artifact,42,-0.77,2020-07
Museums,artifact,59,0.48,2020-08
Museums,artifact,57,0.48,2020-08
Museums,artifact,54,-0.57,2020-09
Museums,artifact,59,-0.57,2020-09
Museums,artifact,66,0.54,2020-10
Museums,artifact,62,0.54,2020-10
Museums,artifact,70,-0.09,2020-11
Museums,artifact,67,-0.09,2020-11
Museums,artifact,63,0.63,2020-12
Museums,artifact,57,0.63,2020-12
Museums,culture,48,0.56,2020-01
Museums,culture,48,0.56,2020-01
Museums,culture,45,-0.83,2020-02
Museums,culture,49,-0.83,2020-02
Museums,culture,55,-0.1,2020-03
Museums,culture,63,-0.1,2020-03
Museums,culture,61,-0.21,2020-04
Museums,culture,65,-0.21,2020-04
Museums,culture,53,0.66,2020-05
Museums,culture,52,0.66,2020-05
Museums,culture,67,0.77,2020-06
Museums,culture,59,0.77,2020-06
Museums,culture,43,0.42,2020-07
Museums,culture,38,0.42,2020-07
Museums,culture,45,0.79,2020-08
Museums,culture,49,0.79,2020-08
Museums,culture,54,0.81,2020-09
Museums,culture,56,0.81,2020-09
Museums,culture,45,0.16,2020-10
Museums,culture,55,0.16,2020-10
Museums,culture,42,0.54,2020-11
Museums,culture,46,0.54,2020-11
Museums,culture,59,-0.96,2020-12
Museums,culture,57,-0.96,2020-12
Museums,painting,64,0.39,2020-01
Museums,painting,60,0.39,2020-01
Museums,painting,56,-0.24,2020-02
Museums,painting,59,-0.24,2020-02
Museums,painting,42,0.57,2020-03
Museums,painting,45,0.57,2020-03
Museums,painting,55,-0.37,2020-04
Museums,painting,55,-0.37,2020-04
Museums,painting,59,-0.76,2020-05
Museums,painting,55,-0.76,2020-05
Museums,painting,56,0.94,2020-06
Museums,painting,53,0.94,2020-06
Museums,painting,51,0.48,2020-07
Museums,painting,46,0.48,2020-07
Museums,painting,46,0.87,2020-08
Museums,painting,41,0.87,2020-08
Museums,painting,65,0.7,2020-09
Museums,painting,61,0.7,2020-09
Museums,painting,51,-0.89,2020-10
Museums,painting,50,-0.89,2020-10
Museums,painting,57,-0.4,2020-11
Museums,painting,58,-0.4,2020-11
Museums,painting,52,0.22,2020-12
Museums,painting,60,0.22,2020-12
Museums,sculpture,47,0.43,2020-01
Museums,sculpture,42,0.43,2020-01
Museums,sculpture,44,0.62,2020-02
Museums,sculpture,40,0.62,2020-02
Museums,sculpture,43,-0.8,2020-03
Museums,sculpture,47,-0.8,2020-03
Museums,sculpture,37,0.29,2020-04
Museums,sculpture,34,0.29,2020-04
Museums,sculpture,43,0.71,2020-05
Museums,sculpture,45,0.71,2020-05
Museums,sculpture,59,-0.94,2020-06
Museums,sculpture,51,-0.94,2020-06
Museums,sculpture,44,-0.1,2020-07
Museums,sculpture,37,-0.1,2020-07
Museums,sculpture,47,-0.54,2020-08
Museums,sculpture,41,-0.54,2020-08
Museums,sculpture,52,0.46,2020-09
Museums,sculpture,52,0.46,2020-09
Museums,sculpture,39,-0.05,2020-10
Museums,sculpture,41,-0.05,2020-10
Museums,sculpture,56,0.95,2020-11
Museums,sculpture,60,0.95,2020-11
Museums,sculpture,57,0.56,2020-12
Museums,sculpture,57,0.56,2020-12
Museums,architecture,47,-0.66,2020-01
Museums,architecture,48,-0.66,2020-01
Museums,architecture,54,-0.48,2020-02
Museums,architecture,54,-0.48,2020-02
Museums,architecture,43,0.94,2020-03
Museums,architecture,39,0.94,2020-03
Museums,architecture,37,-0.79,2020-04
Museums,architecture,35,-0.79,2020-04
Museums,architecture,38,-0.63,2020-05
Museums,architecture,38,-0.63,2020-05
Museums,architecture,43,-0.03,2020-06
Museums,architecture,48,-0.03,2020-06
Museums,architecture,59,-0.28,2020-07
Museums,architecture,56,-0.28,2020-07
Museums,architecture,40,0.77,2020-08
Museums,architecture,49,0.77,2020-08
Museums,architecture,36,-0.07,2020-09
Museums,architecture,38,-0.07,2020-09
Museums,architecture,39,0.7,2020-10
Museums,architecture,48,0.7,2020-10
Museums,architecture,41,-0.27,2020-11
Museums,architecture,49,-0.27,2020-11
Museums,architecture,39,-0.57,2020-12
Museums,architecture,33,-0.57,2020-12
Museums,heritage,48,-0.09,2020-01
Museums,heritage,47,-0.09,2020-01
Museums,heritage,35,-0.37,2020-02
Museums,heritage,28,-0.37,2020-02
Museums,heritage,38,-0.32,2020-03
Museums,heritage,38,-0.32,2020-03
Museums,heritage,39,-0.17,2020-04
Museums,heritage,37,-0.17,2020-04
Museums,heritage,33,-0.87,2020-05
Museums,heritage,35,-0.87,2020-05
Museums,heritage,41,0.28,2020-06
Museums,heritage,44,0.28,2020-06
Museums,heritage,46,0.89,2020-07
Museums,heritage,52,0.89,2020-07
Museums,heritage,54,-0.55,2020-08
Museums,heritage,51,-0.55,2020-08
Museums,heritage,39,-0.18,2020-09
Museums,heritage,40,-0.18,2020-09
Museums,heritage,42,-0.78,2020-10
Museums,heritage,50,-0.78,2020-10
Museums,heritage,30,-0.33,2020-11
Museums,heritage,28,-0.33,2020-11
Museums,heritage,44,-0.25,2020-12
Museums,heritage,50,-0.25,2020-12
Museums,curator,51,-0.93,2020-01
Museums,curator,45,-0.93,2020-01
Museums,curator,36,0.77,2020-02
Museums,curator,37,0.77,2020-02
Museums,curator,52,-0.18,2020-03
Museums,curator,45,-0.18,2020-03
Museums,curator,33,0.97,2020-04
Museums,curator,27,0.97,2020-04
Museums,curator,30,0.04,2020-05
Museums,curator,27,0.04,2020-05
Museums,curator,37,0.66,2020-06
Museums,curator,38,0.66,2020-06
Museums,curator,43,-0.32,2020-07
Museums,curator,41,-0.32,2020-07
Museums,curator,32,0.62,2020-08
Museums,curator,42,0.62,2020-08
Museums,curator,41,-0.38,2020-09
Museums,curator,46,-0.38,2020-09
Museums,curator,54,0.31,2020-10
Museums,curator,52,0.31,2020-10
Museums,curator,44,0.76,2020-11
Museums,curator,44,0.76,2020-11
Museums,curator,47,-0.62,2020-12
Museums,curator,44,-0.62,2020-12
Museums,ancient,38,0.34,2020-01
Museums,ancient,39,-0.44,2020-02
Museums,ancient,35,0.45,2020-03
Museums,ancient,48,-0.4,2020-04
Museums,ancient,35,-0.21,2020-05
Museums,ancient,47,-0.02,2020-06
Museums,ancient,45,0.8,2020-07
Museums,ancient,42,-0.13,2020-08
Museums,ancient,43,0.39,2020-09
Museums,ancient,34,0.91,2020-10
Museums,ancient,46,-0.37,2020-11
Museums,ancient,35,0.8,2020-12
Museums,display,27,0.36,2020-01
Museums,display,28,-0.71,2020-02
Museums,display,34,0.95,2020-03
Museums,display,24,0.91,2020-04
Museums,display,33,-0.07,2020-05
Museums,display,32,0.43,2020-06
Museums,display,39,0.86,2020-07
Museums,display,40,0.98,2020-08
Museums,display,26,-0.16,2020-09
Museums,display,30,0.09,2020-10
Museums,display,42,-0.13,2020-11
Museums,display,37,0.35,2020-12
Museums,restoration,30,-0.3,2020-01
Museums,restoration,38,-0.0,2020-02
Museums,restoration,41,0.03,2020-03
Museums,restoration,26,-0.91,2020-04
Museums,restoration,27,-0.46,2020-05
Museums,restoration,42,0.44,2020-06
Museums,restoration,29,-0.73,2020-07
Museums,restoration,34,-0.81,2020-08
Museums,restoration,31,0.43,2020-09
Museums,restoration,33,0.64,2020-10
Museums,restoration,41,0.63,2020-11
Museums,restoration,44,-0.08,2020-12
Museums,preservation,28,-0.68,2020-01
Museums,preservation,43,-0.66,2020-02
Museums,preservation,27,0.8,2020-03
Museums,preservation,20,0.45,2020-04
Museums,preservation,23,-0.16,2020-05
Museums,preservation,27,0.47,2020-06
Museums,preservation,28,-0.26,2020-07
Museums,preservation,32,0.22,2020-08
Museums,preservation,34,-0.68,2020-09
Museums,preservation,35,0.85,2020-10
Museums,preservation,43,-0.47,2020-11
Museums,preservation,26,0.93,2020-12
Museums,archaeological,22,0.03,2020-01
Museums,archaeological,23,-0.77,2020-02
Museums,archaeological,28,-0.39,2020-03
Museums,archaeological,14,-0.4,2020-04
Museums,archaeological,37,-0.88,2020-05
Museums,archaeological,32,0.78,2020-06
Museums,archaeological,31,0.81,2020-07
Museums,archaeological,22,-0.4,2020-08
Museums,archaeological,25,-0.1,2020-09
Museums,archaeological,25,0.14,2020-10
Museums,archaeological,15,-0.34,2020-11
Museums,archaeological,24,-0.76,2020-12
Museums,civilization,36,-0.34,2020-01
Museums,civilization,33,-0.87,2020-02
Museums,civilization,20,0.52,2020-03
Museums,civilization,30,0.22,2020-04
Museums,civilization,10,0.28,2020-05
Museums,civilization,18,0.67,2020-06
Museums,civilization,29,-0.05,2020-07
Museums,civilization,28,0.1,2020-08
Museums,civilization,23,0.71,2020-09
Museums,civilization,28,-0.91,2020-10
Museums,civilization,22,0.65,2020-11
Museums,civilization,20,0.51,2020-12
Museums,museum,76,-0.57,2020-01
Museums,museum,74,-0.57,2020-01
Museums,museum,69,-0.57,2020-01
Museums,museum,73,-0.57,2020-01
Museums,museum,79,0.17,2020-02
Museums,museum,81,0.17,2020-02
Museums,museum,84,0.17,2020-02
Museums,museum,76,0.17,2020-02
Museums,museum,71,-0.85,2020-03
Museums,museum,73,-0.85,2020-03
Museums,museum,75,-0.85,2020-03
Museums,museum,75,-0.85,2020-03
Museums,museum,73,-0.11,2020-04
Museums,museum,77,-0.11,2020-04
Museums,museum,80,-0.11,2020-04
Museums,museum,79,-0.11,2020-04
Museums,museum,85,0.26,2020-05
Museums,museum,84,0.26,2020-05
Museums,museum,86,0.26,2020-05
Museums,museum,86,0.26,2020-05
Museums,museum,73,0.3,2020-06
Museums,museum,70,0.3,2020-06
Museums,museum,67,0.3,2020-06
Museums,museum,67,0.3,2020-06
Museums,museum,87,-0.07,2020-07
Museums,museum,86,-0.07,2020-07
Museums,museum,88,-0.07,2020-07
Museums,museum,82,-0.07,2020-07
Museums,museum,78,-0.27,2020-08
Museums,museum,83,-0.27,2020-08
Museums,museum,76,-0.27,2020-08
Museums,museum,79,-0.27,2020-08
Museums,museum,76,-0.02,2020-09
Museums,museum,73,-0.02,2020-09
Museums,museum,76,-0.02,2020-09
Museums,museum,71,-0.02,2020-09
Museums,museum,85,-0.73,2020-10
Museums,museum,78,-0.73,2020-10
Museums,museum,79,-0.73,2020-10
Museums,museum,84,-0.73,2020-10
Museums,museum,66,0.41,2020-11
Museums,museum,72,0.41,2020-11
Museums,museum,71,0.41,2020-11
Museums,museum,68,0.41,2020-11
Museums,museum,72,0.59,2020-12
Museums,museum,67,0.59,2020-12
Museums,museum,74,0.59,2020-12
Museums,museum,72,0.59,2020-12
Museums,exhibit,43,0.08,2020-01
Museums,exhibit,45,0.08,2020-01
Museums,exhibit,50,0.44,2020-02
Museums,exhibit,54,0.44,2020-02
Museums,exhibit,43,-0.76,2020-03
Museums,exhibit,41,-0.76,2020-03
Museums,exhibit,52,-0.25,2020-04
Museums,exhibit,53,-0.25,2020-04
Museums,exhibit,52,0.18,2020-05
Museums,exhibit,52,0.18,2020-05
Museums,exhibit,47,0.51,2020-06
Museums,exhibit,47,0.51,2020-06
Museums,exhibit,42,0.95,2020-07
Museums,exhibit,34,0.95,2020-07
Museums,exhibit,37,-0.06,2020-08
Museums,exhibit,39,-0.06,2020-08
Museums,exhibit,35,0.12,2020-09
Museums,exhibit,40,0.12,2020-09
Museums,exhibit,40,-0.2,2020-10
Museums,exhibit,47,-0.2,2020-10
Museums,exhibit,40,-0.29,2020-11
Museums,exhibit,47,-0.29,2020-11
Museums,exhibit,43,0.99,2020-12
Museums,exhibit,46,0.99,2020-12
Museums,archive,51,-0.43,2020-01
Museums,archive,45,-0.43,2020-01
Museums,archive,36,0.77,2020-02
Museums,archive,35,0.77,2020-02
Museums,archive,40,-0.43,2020-03
Museums,archive,39,-0.43,2020-03
Museums,archive,43,0.51,2020-04
Museums,archive,36,0.51,2020-04
Museums,archive,45,-0.46,2020-05
Museums,archive,41,-0.46,2020-05
Museums,archive,34,-0.35,2020-06
Museums,archive,33,-0.35,2020-06
Museums,archive,34,0.24,2020-07
Museums,archive,35,0.24,2020-07
Museums,archive,33,0.52,2020-08
Museums,archive,34,0.52,2020-08
Museums,archive,28,0.67,2020-09
Museums,archive,33,0.67,2020-09
Museums,archive,35,-0.39,2020-10
Museums,archive,25,-0.39,2020-10
Museums,archive,26,-0.35,2020-11
Museums,archive,34,-0.35,2020-11
Museums,archive,35,-0.49,2020-12
Museums,archive,34,-0.49,2020-12
Museums,showcase,47,0.96,2020-01
Museums,showcase,26,-0.02,2020-02
Museums,showcase,43,-0.83,2020-03
Museums,showcase,49,0.31,2020-04
Museums,showcase,31,0.69,2020-05
Museums,showcase,42,0.03,2020-06
Museums,showcase,40,0.5,2020-07
Museums,showcase,29,0.34,2020-08
Museums,showcase,48,0.54,2020-09
Museums,showcase,42,-0.82,2020-10
Museums,showcase,35,0.39,2020-11
Museums,showcase,22,-0.59,2020-12
Museums,educational,27,-0.19,2020-01
Museums,educational,40,0.26,2020-02
Museums,educational,27,-0.09,2020-03
Museums,educational,31,-0.85,2020-04
Museums,educational,28,-0.38,2020-05
Museums,educational,30,0.04,2020-06
Museums,educational,30,-0.59,2020-07
Museums,educational,29,-0.88,2020-08
Museums,educational,38,0.21,2020-09
Museums,educational,38,-0.17,2020-10
Museums,educational,30,0.0,2020-11
Museums,educational,33,-0.43,2020-12
Museums,antique,29,0.62,2020-01
Museums,antique,23,0.1,2020-02
Museums,antique,25,-0.91,2020-03
Museums,antique,12,0.22,2020-04
Museums,antique,14,0.54,2020-05
Museums,antique,24,0.86,2020-06
Museums,antique,28,-0.55,2020-07
Museums,antique,31,-0.21,2020-08
Museums,antique,35,0.87,2020-09
Museums,antique,31,-0.59,2020-10
Museums,antique,24,-0.6,2020-11
Museums,antique,22,0.73,2020-12
Museums,relic,21,-0.51,2020-01
Museums,relic,30,-0.97,2020-02
Museums,relic,23,-0.4,2020-03
Museums,relic,13,0.08,2020-04
Museums,relic,25,0.46,2020-05
Museums,relic,22,-0.83,2020-06
Museums,relic,16,-0.34,2020-07
Museums,relic,25,0.18,2020-08
Museums,relic,32,0.85,2020-09
Museums,relic,17,0.83,2020-10
Museums,relic,25,0.41,2020-11
Museums,relic,17,-0.52,2020-12
Museums,historic,39,0.36,2020-01
Museums,historic,33,0.36,2020-01
Museums,historic,31,0.63,2020-02
Museums,historic,38,0.63,2020-02
Museums,historic,47,0.71,2020-03
Museums,historic,49,0.71,2020-03
Museums,historic,49,-0.74,2020-04
Museums,historic,52,-0.74,2020-04
Museums,historic,38,0.3,2020-05
Museums,historic,40,0.3,2020-05
Museums,historic,56,0.75,2020-06
Museums,historic,48,0.75,2020-06
Museums,historic,47,0.75,2020-07
Museums,historic,49,0.75,2020-07
Museums,historic,53,0.12,2020-08
Museums,historic,54,0.12,2020-08
Museums,historic,50,-0.57,2020-09
Museums,historic,49,-0.57,2020-09
Museums,historic,37,0.22,2020-10
Museums,historic,37,0.22,2020-10
Museums,historic,37,0.73,2020-11
Museums,historic,38,0.73,2020-11
Museums,historic,52,0.24,2020-12
Museums,historic,50,0.24,2020-12
Museums,classical,48,-0.82,2020-01
Museums,classical,32,0.38,2020-02
Museums,classical,34,0.3,2020-03
Museums,classical,43,-0.81,2020-04
Museums,classical,40,0.06,2020-05
Museums,classical,43,0.43,2020-06
Museums,classical,30,0.59,2020-07
Museums,classical,34,-0.73,2020-08
Museums,classical,41,-0.49,2020-09
Museums,classical,20,-0.2,2020-10
Museums,classical,36,-0.2,2020-11
Museums,classical,20,0.53,2020-12
Museums,contemporary,27,0.35,2020-01
Museums,contemporary,22,-0.4,2020-02
Museums,contemporary,32,0.92,2020-03
Museums,contemporary,33,0.43,2020-04
Museums,contemporary,27,0.3,2020-05
Museums,contemporary,28,-0.84,2020-06
Museums,contemporary,34,0.3,2020-07
Museums,contemporary,26,0.79,2020-08
Museums,contemporary,41,0.93,2020-09
Museums,contemporary,20,0.02,2020-10
Museums,contemporary,28,-0.63,2020-11
Museums,contemporary,25,0.06,2020-12
Museums,renaissance,48,-0.26,2020-01
Museums,renaissance,47,-0.26,2020-01
Museums,renaissance,31,-0.24,2020-02
Museums,renaissance,34,-0.24,2020-02
Museums,renaissance,55,0.24,2020-03
Museums,renaissance,46,0.24,2020-03
Museums,renaissance,37,-1.0,2020-04
Museums,renaissance,39,-1.0,2020-04
Museums,renaissance,42,0.14,2020-05
Museums,renaissance,47,0.14,2020-05
Museums,renaissance,43,-0.11,2020-06
Museums,renaissance,39,-0.11,2020-06
Museums,renaissance,34,-0.73,2020-07
Museums,renaissance,28,-0.73,2020-07
Museums,renaissance,37,0.31,2020-08
Museums,renaissance,36,0.31,2020-08
Museums,renaissance,27,0.01,2020-09
Museums,renaissance,27,0.01,2020-09
Museums,renaissance,37,-0.99,2020-10
Museums,renaissance,33,-0.99,2020-10
Museums,renaissance,35,-0.31,2020-11
Museums,renaissance,32,-0.31,2020-11
Museums,renaissance,35,0.13,2020-12
Museums,renaissance,35,0.13,2020-12
Museums,baroque,32,0.79,2020-01
Museums,baroque,30,-0.04,2020-02
Museums,baroque,41,0.84,2020-03
Museums,baroque,25,0.49,2020-04
Museums,baroque,31,-0.27,2020-05
Museums,baroque,28,0.77,2020-06
Museums,baroque,29,0.9,2020-07
Museums,baroque,45,0.05,2020-08
Museums,baroque,33,-0.73,2020-09
Museums,baroque,32,-0.28,2020-10
Museums,baroque,31,0.46,2020-11
Museums,baroque,48,0.2,2020-12
Museums,medieval,29,-0.07,2020-01
Museums,medieval,25,0.03,2020-02
Museums,medieval,33,-0.18,2020-03
Museums,medieval,28,0.84,2020-04
Museums,medieval,20,0.52,2020-05
Museums,medieval,31,0.12,2020-06
Museums,medieval,26,0.59,2020-07
Museums,medieval,33,-0.6,2020-08
Museums,medieval,34,0.69,2020-09
Museums,medieval,20,-0.48,2020-10
Museums,medieval,28,0.21,2020-11
Museums,medieval,18,0.72,2020-12
Museums,modern,42,-0.86,2020-01
Museums,modern,39,-0.86,2020-01
Museums,modern,41,0.27,2020-02
Museums,modern,45,0.27,2020-02
Museums,modern,38,0.14,2020-03
Museums,modern,43,0.14,2020-03
Museums,modern,51,0.45,2020-04
Museums,modern,49,0.45,2020-04
Museums,modern,32,-0.79,2020-05
Museums,modern,38,-0.79,2020-05
Museums,modern,31,-0.94,2020-06
Museums,modern,31,-0.94,2020-06
Museums,modern,42,0.08,2020-07
Museums,modern,44,0.08,2020-07
Museums,modern,28,0.12,2020-08
Museums,modern,30,0.12,2020-08
Museums,modern,38,-0.86,2020-09
Museums,modern,40,-0.86,2020-09
Museums,modern,41,-0.17,2020-10
Museums,modern,35,-0.17,2020-10
Museums,modern,34,-0.37,2020-11
Museums,modern,35,-0.37,2020-11
Museums,modern,41,0.48,2020-12
Museums,modern,40,0.48,2020-12
Museums,permanent,31,-0.3,2020-01
Museums,permanent,25,-0.02,2020-02
Museums,permanent,24,0.21,2020-03
Museums,permanent,15,0.17,2020-04
Museums,permanent,19,-0.85,2020-05
Museums,permanent,31,0.27,2020-06
Museums,permanent,18,-0.83,2020-07
