Location,Theme,Word,Frequency,Sentiment,Month
Louvre,Foods,taste,33,0.29,2020-03
Louvre,Foods,taste,34,0.29,2020-03
Louvre,Foods,taste,38,-0.85,2020-04
Louvre,Foods,taste,46,-0.85,2020-04
Louvre,Foods,taste,47,-0.57,2020-05
Louvre,Foods,taste,50,-0.57,2020-05
Louvre,Foods,taste,50,0.56,2020-06
Louvre,Foods,taste,53,0.56,2020-06
Louvre,Foods,taste,41,-0.5,2020-07
Louvre,Foods,taste,42,-0.5,2020-07
Louvre,Foods,taste,48,0.14,2020-08
Louvre,Foods,taste,42,0.14,2020-08
Louvre,Foods,taste,43,0.31,2020-09
Louvre,Foods,taste,40,0.31,2020-09
Louvre,Foods,taste,46,-0.88,2020-10
Louvre,Foods,taste,49,-0.88,2020-10
Louvre,Foods,taste,40,0.48,2020-11
Louvre,Foods,taste,38,0.48,2020-11
Louvre,Foods,taste,58,-0.31,2020-12
Louvre,Foods,taste,50,-0.31,2020-12
Louvre,Foods,fresh,44,-0.66,2020-01
Louvre,Foods,fresh,44,-0.66,2020-01
Louvre,Foods,fresh,38,-0.98,2020-02
Louvre,Foods,fresh,42,-0.98,2020-02
Louvre,Foods,fresh,34,0.81,2020-03
Louvre,Foods,fresh,38,0.81,2020-03
Louvre,Foods,fresh,56,0.18,2020-04
Louvre,Foods,fresh,53,0.18,2020-04
Louvre,Foods,fresh,42,0.79,2020-05
Louvre,Foods,fresh,38,0.79,2020-05
Louvre,Foods,fresh,36,-0.31,2020-06
Louvre,Foods,fresh,41,-0.31,2020-06
Louvre,Foods,fresh,43,-0.01,2020-07
Louvre,Foods,fresh,49,-0.01,2020-07
Louvre,Foods,fresh,53,-0.51,2020-08
Louvre,Foods,fresh,53,-0.51,2020-08
Louvre,Foods,fresh,40,-0.96,2020-09
Louvre,Foods,fresh,33,-0.96,2020-09
Louvre,Foods,fresh,40,0.16,2020-10
Louvre,Foods,fresh,48,0.16,2020-10
Louvre,Foods,fresh,48,0.25,2020-11
Louvre,Foods,fresh,48,0.25,2020-11
Louvre,Foods,fresh,52,0.48,2020-12
Louvre,Foods,fresh,47,0.48,2020-12
Louvre,Foods,menu,43,-0.37,2020-01
Louvre,Foods,menu,44,-0.37,2020-01
Louvre,Foods,menu,54,0.8,2020-02
Louvre,Foods,menu,48,0.8,2020-02
Louvre,Foods,menu,48,-0.11,2020-03
Louvre,Foods,menu,49,-0.11,2020-03
Louvre,Foods,menu,36,0.84,2020-04
Louvre,Foods,menu,45,0.84,2020-04
Louvre,Foods,menu,40,-0.24,2020-05
Louvre,Foods,menu,40,-0.24,2020-05
Louvre,Foods,menu,43,-0.23,2020-06
Louvre,Foods,menu,47,-0.23,2020-06
Louvre,Foods,menu,40,-0.46,2020-07
Louvre,Foods,menu,39,-0.46,2020-07
Louvre,Foods,menu,52,-0.09,2020-08
Louvre,Foods,menu,46,-0.09,2020-08
Louvre,Foods,menu,31,-0.16,2020-09
Louvre,Foods,menu,29,-0.16,2020-09
Louvre,Foods,menu,48,0.92,2020-10
Louvre,Foods,menu,45,0.92,2020-10
Louvre,Foods,menu,32,-0.98,2020-11
Louvre,Foods,menu,34,-0.98,2020-11
Louvre,Foods,menu,50,0.45,2020-12
Louvre,Foods,menu,50,0.45,2020-12
Louvre,Foods,flavor,37,-0.26,2020-01
Louvre,Foods,flavor,31,-0.06,2020-02
Louvre,Foods,flavor,43,0.91,2020-03
Louvre,Foods,flavor,42,-0.24,2020-04
Louvre,Foods,flavor,34,-0.22,2020-05
Louvre,Foods,flavor,25,0.59,2020-06
Louvre,Foods,flavor,35,-0.51,2020-07
Louvre,Foods,flavor,31,-0.12,2020-08
Louvre,Foods,flavor,24,0.5,2020-09
Louvre,Foods,flavor,35,0.84,2020-10
Louvre,Foods,flavor,38,-0.15,2020-11
Louvre,Foods,flavor,28,0.42,2020-12
Louvre,Foods,local,36,-0.12,2020-01
Louvre,Foods,local,45,0.42,2020-02
Louvre,Foods,local,42,-0.98,2020-03
Louvre,Foods,local,30,0.98,2020-04
Louvre,Foods,local,37,0.14,2020-05
Louvre,Foods,local,39,-0.47,2020-06
Louvre,Foods,local,39,-0.67,2020-07
Louvre,Foods,local,30,0.84,2020-08
Louvre,Foods,local,29,-0.62,2020-09
Louvre,Foods,local,26,0.49,2020-10
Louvre,Foods,local,33,0.05,2020-11
Louvre,Foods,local,23,-0.38,2020-12
Louvre,Foods,traditional,36,-0.13,2020-01
Louvre,Foods,traditional,47,-0.28,2020-02
Louvre,Foods,traditional,32,-0.26,2020-03
Louvre,Foods,traditional,38,0.58,2020-04
Louvre,Foods,traditional,43,-0.52,2020-05
Louvre,Foods,traditional,26,0.87,2020-06
Louvre,Foods,traditional,30,0.5,2020-07
Louvre,Foods,traditional,20,0.89,2020-08
Louvre,Foods,traditional,34,-0.9,2020-09
Louvre,Foods,traditional,31,-0.57,2020-10
Louvre,Foods,traditional,38,0.0,2020-11
Louvre,Foods,traditional,45,-0.88,2020-12
Louvre,Foods,authentic,37,-0.43,2020-01
Louvre,Foods,authentic,25,0.91,2020-02
Louvre,Foods,authentic,38,0.77,2020-03
Louvre,Foods,authentic,41,-0.73,2020-04
Louvre,Foods,authentic,21,-0.85,2020-05
Louvre,Foods,authentic,24,0.71,2020-06
Louvre,Foods,authentic,31,0.01,2020-07
Louvre,Foods,authentic,33,0.5,2020-08
Louvre,Foods,authentic,25,-0.99,2020-09
Louvre,Foods,authentic,23,0.5,2020-10
Louvre,Foods,authentic,36,-0.23,2020-11
Louvre,Foods,authentic,29,0.16,2020-12
Louvre,Foods,gourmet,32,0.07,2020-01
Louvre,Foods,gourmet,24,-0.81,2020-02
Louvre,Foods,gourmet,22,0.23,2020-03
Louvre,Foods,gourmet,35,0.79,2020-04
Louvre,Foods,gourmet,13,0.83,2020-05
Louvre,Foods,gourmet,36,0.72,2020-06
Louvre,Foods,gourmet,33,0.52,2020-07
Louvre,Foods,gourmet,29,0.04,2020-08
Louvre,Foods,gourmet,40,-0.51,2020-09
Louvre,Foods,gourmet,34,0.22,2020-10
Louvre,Foods,gourmet,39,-0.53,2020-11
Louvre,Foods,gourmet,27,0.8,2020-12
Louvre,Foods,specialty,27,-0.83,2020-01
Louvre,Foods,specialty,24,0.21,2020-02
Louvre,Foods,specialty,36,-0.12,2020-03
Louvre,Foods,specialty,20,-0.78,2020-04
Louvre,Foods,specialty,22,0.41,2020-05
Louvre,Foods,specialty,26,-0.35,2020-06
Louvre,Foods,specialty,23,0.39,2020-07
Louvre,Foods,specialty,35,-0.56,2020-08
Louvre,Foods,specialty,23,-0.37,2020-09
Louvre,Foods,specialty,29,0.33,2020-10
Louvre,Foods,specialty,38,-0.56,2020-11
Louvre,Foods,specialty,30,-0.11,2020-12
Louvre,Foods,snack,26,0.04,2020-01
Louvre,Foods,snack,34,0.78,2020-02
Louvre,Foods,snack,32,-0.27,2020-03
Louvre,Foods,snack,36,0.49,2020-04
Louvre,Foods,snack,24,-0.16,2020-05
Louvre,Foods,snack,30,0.15,2020-06
Louvre,Foods,snack,30,0.18,2020-07
Louvre,Foods,snack,32,0.62,2020-08
Louvre,Foods,snack,19,-0.79,2020-09
Louvre,Foods,snack,19,-0.6,2020-10
Louvre,Foods,snack,30,-0.92,2020-11
Louvre,Foods,snack,26,0.22,2020-12
Louvre,Foods,dessert,19,-0.0,2020-01
Louvre,Foods,dessert,12,-0.82,2020-02
Louvre,Foods,dessert,13,-0.0,2020-03
Louvre,Foods,dessert,9,0.3,2020-04
Louvre,Foods,dessert,16,-0.79,2020-05
Louvre,Foods,dessert,15,0.17,2020-06
Louvre,Foods,dessert,10,0.09,2020-07
Louvre,Foods,dessert,10,0.29,2020-08
Louvre,Foods,dessert,29,-0.34,2020-09
Louvre,Foods,dessert,31,-0.35,2020-10
Louvre,Foods,dessert,6,-0.58,2020-11
Louvre,Foods,dessert,5,0.93,2020-12
Louvre,Foods,breakfast,13,-0.69,2020-01
Louvre,Foods,breakfast,15,0.06,2020-02
Louvre,Foods,breakfast,19,0.62,2020-03
Louvre,Foods,breakfast,20,-0.9,2020-04
Louvre,Foods,breakfast,22,0.43,2020-05
Louvre,Foods,breakfast,30,-0.12,2020-06
Louvre,Foods,breakfast,25,0.74,2020-07
Louvre,Foods,breakfast,6,0.0,2020-08
Louvre,Foods,breakfast,25,-0.79,2020-09
Louvre,Foods,breakfast,13,0.16,2020-10
Louvre,Foods,breakfast,22,-0.23,2020-11
Louvre,Foods,breakfast,10,0.69,2020-12
Louvre,Foods,lunch,21,0.81,2020-01
Louvre,Foods,lunch,10,-0.58,2020-02
Louvre,Foods,lunch,18,-0.66,2020-03
Louvre,Foods,lunch,2,0.67,2020-04
Louvre,Foods,lunch,9,0.38,2020-05
Louvre,Foods,lunch,14,0.34,2020-06
Louvre,Foods,lunch,22,-0.46,2020-07
Louvre,Foods,lunch,19,0.82,2020-08
Louvre,Foods,lunch,5,0.17,2020-09
Louvre,Foods,lunch,20,-0.84,2020-10
Louvre,Foods,lunch,28,0.16,2020-11
Louvre,Foods,lunch,9,-0.94,2020-12
Louvre,Foods,dinner,27,0.67,2020-01
Louvre,Foods,dinner,24,0.09,2020-02
Louvre,Foods,dinner,11,-0.06,2020-03
Louvre,Foods,dinner,11,0.15,2020-04
Louvre,Foods,dinner,11,0.16,2020-05
Louvre,Foods,dinner,23,-0.55,2020-06
Louvre,Foods,dinner,9,-0.38,2020-07
Louvre,Foods,dinner,15,-0.97,2020-09
Louvre,Foods,dinner,10,0.84,2020-10
Louvre,Foods,dinner,18,-0.41,2020-11
Louvre,Foods,dinner,15,-0.01,2020-12
Louvre,Foods,buffet,19,0.42,2020-02
Louvre,Foods,buffet,8,-0.92,2020-03
Louvre,Foods,buffet,13,-0.12,2020-04
Louvre,Foods,buffet,18,0.66,2020-05
Louvre,Foods,buffet,14,-0.52,2020-06
Louvre,Foods,buffet,4,-0.22,2020-07
Louvre,Foods,buffet,16,0.38,2020-08
Louvre,Foods,buffet,8,-0.47,2020-09
Louvre,Foods,buffet,7,0.24,2020-11
Louvre,Foods,buffet,3,0.96,2020-12
Louvre,Foods,organic,1,-0.23,2020-01
Louvre,Foods,organic,11,-0.93,2020-02
Louvre,Foods,organic,22,0.75,2020-03
Louvre,Foods,organic,13,-0.12,2020-06
Louvre,Foods,organic,13,-0.25,2020-07
Louvre,Foods,organic,7,-0.08,2020-08
Louvre,Foods,organic,14,0.35,2020-09
Louvre,Foods,organic,15,0.27,2020-10
Louvre,Foods,organic,15,-0.34,2020-11
Louvre,Foods,organic,6,0.8,2020-12
Louvre,Foods,sweet,51,0.63,2020-01
Louvre,Foods,sweet,52,0.63,2020-01
Louvre,Foods,sweet,47,-0.66,2020-02
Louvre,Foods,sweet,50,-0.66,2020-02
Louvre,Foods,sweet,51,0.15,2020-03
Louvre,Foods,sweet,42,0.15,2020-03
Louvre,Foods,sweet,34,-0.28,2020-04
Louvre,Foods,sweet,38,-0.28,2020-04
Louvre,Foods,sweet,51,-0.93,2020-05
Louvre,Foods,sweet,48,-0.93,2020-05
Louvre,Foods,sweet,42,-0.25,2020-06
Louvre,Foods,sweet,37,-0.25,2020-06
Louvre,Foods,sweet,37,-0.08,2020-07
Louvre,Foods,sweet,43,-0.08,2020-07
Louvre,Foods,sweet,53,0.95,2020-08
Louvre,Foods,sweet,49,0.95,2020-08
Louvre,Foods,sweet,50,0.37,2020-09
Louvre,Foods,sweet,42,0.37,2020-09
Louvre,Foods,sweet,45,-0.33,2020-10
Louvre,Foods,sweet,49,-0.33,2020-10
Louvre,Foods,sweet,51,-0.59,2020-11
Louvre,Foods,sweet,51,-0.59,2020-11
Louvre,Foods,sweet,57,-0.82,2020-12
Louvre,Foods,sweet,51,-0.82,2020-12
Louvre,Foods,savory,56,-0.53,2020-01
Louvre,Foods,savory,56,-0.53,2020-01
Louvre,Foods,savory,40,-0.14,2020-02
Louvre,Foods,savory,33,-0.14,2020-02
Louvre,Foods,savory,44,0.2,2020-03
Louvre,Foods,savory,53,0.2,2020-03
Louvre,Foods,savory,44,0.58,2020-04
Louvre,Foods,savory,42,0.58,2020-04
Louvre,Foods,savory,30,-0.64,2020-05
Louvre,Foods,savory,36,-0.64,2020-05
Louvre,Foods,savory,32,-0.57,2020-06
Louvre,Foods,savory,34,-0.57,2020-06
Louvre,Foods,savory,36,-0.97,2020-07
Louvre,Foods,savory,36,-0.97,2020-07
Louvre,Foods,savory,47,-0.09,2020-08
Louvre,Foods,savory,48,-0.09,2020-08
Louvre,Foods,savory,39,-0.11,2020-09
Louvre,Foods,savory,30,-0.11,2020-09
Louvre,Foods,savory,47,-0.34,2020-10
Louvre,Foods,savory,45,-0.34,2020-10
Louvre,Foods,savory,45,-0.08,2020-11
Louvre,Foods,savory,51,-0.08,2020-11
Louvre,Foods,savory,38,-0.59,2020-12
Louvre,Foods,savory,40,-0.59,2020-12
Louvre,Foods,spicy,37,0.14,2020-01
Louvre,Foods,spicy,31,0.14,2020-01
Louvre,Foods,spicy,34,-0.8,2020-02
Louvre,Foods,spicy,32,-0.8,2020-02
Louvre,Foods,spicy,44,0.97,2020-03
Louvre,Foods,spicy,51,0.97,2020-03
Louvre,Foods,spicy,37,0.55,2020-04
Louvre,Foods,spicy,39,0.55,2020-04
Louvre,Foods,spicy,44,-0.38,2020-05
Louvre,Foods,spicy,40,-0.38,2020-05
Louvre,Foods,spicy,31,-0.38,2020-06
Louvre,Foods,spicy,39,-0.38,2020-06
Louvre,Foods,spicy,39,-0.66,2020-07
Louvre,Foods,spicy,41,-0.66,2020-07
Louvre,Foods,spicy,42,-0.4,2020-08
Louvre,Foods,spicy,39,-0.4,2020-08
Louvre,Foods,spicy,39,-0.03,2020-09
Louvre,Foods,spicy,37,-0.03,2020-09
Louvre,Foods,spicy,53,0.44,2020-10
Louvre,Foods,spicy,52,0.44,2020-10
Louvre,Foods,spicy,42,-0.69,2020-11
Louvre,Foods,spicy,40,-0.69,2020-11
Louvre,Foods,spicy,39,0.54,2020-12
Louvre,Foods,spicy,32,0.54,2020-12
Louvre,Foods,quality,27,-0.78,2020-01
Louvre,Foods,quality,41,0.43,2020-02
Louvre,Foods,quality,42,-0.17,2020-03
Louvre,Foods,quality,37,0.97,2020-04
Louvre,Foods,quality,41,0.31,2020-05
Louvre,Foods,quality,45,-0.13,2020-06
Louvre,Foods,quality,42,-0.11,2020-07
Louvre,Foods,quality,42,-0.37,2020-08
Louvre,Foods,quality,45,0.84,2020-09
Louvre,Foods,quality,48,-0.14,2020-10
Louvre,Foods,quality,44,0.15,2020-11
Louvre,Foods,quality,46,-0.7,2020-12
Louvre,Foods,portion,36,-0.9,2020-01
Louvre,Foods,portion,30,-0.52,2020-02
Louvre,Foods,portion,25,0.6,2020-03
Louvre,Foods,portion,38,-0.17,2020-04
Louvre,Foods,portion,37,-0.33,2020-05
Louvre,Foods,portion,29,0.01,2020-06
Louvre,Foods,portion,36,-0.88,2020-07
Louvre,Foods,portion,43,0.63,2020-08
Louvre,Foods,portion,36,-0.41,2020-09
Louvre,Foods,portion,44,-0.33,2020-10
Louvre,Foods,portion,33,0.17,2020-11
Louvre,Foods,portion,26,0.29,2020-12
Louvre,Foods,price,29,-0.1,2020-01
Louvre,Foods,price,43,-0.72,2020-02
Louvre,Foods,price,29,0.4,2020-03
Louvre,Foods,price,38,0.63,2020-04
Louvre,Foods,price,34,-0.17,2020-05
Louvre,Foods,price,34,-0.88,2020-06
Louvre,Foods,price,30,0.06,2020-07
Louvre,Foods,price,41,-0.89,2020-08
Louvre,Foods,price,20,0.37,2020-09
Louvre,Foods,price,35,0.4,2020-10
Louvre,Foods,price,38,-0.11,2020-11
Louvre,Foods,price,37,-0.06,2020-12
Louvre,Foods,variety,27,0.67,2020-01
Louvre,Foods,variety,23,0.41,2020-02
Louvre,Foods,variety,18,0.89,2020-03
Louvre,Foods,variety,34,0.5,2020-04
Louvre,Foods,variety,44,-0.09,2020-05
Louvre,Foods,variety,31,-0.68,2020-06
Louvre,Foods,variety,37,-0.82,2020-07
Louvre,Foods,variety,43,-0.37,2020-08
Louvre,Foods,variety,17,-0.37,2020-09
Louvre,Foods,variety,24,0.62,2020-10
Louvre,Foods,variety,33,0.07,2020-11
Louvre,Foods,variety,30,0.27,2020-12
Louvre,Foods,seasonal,23,-0.55,2020-01
Louvre,Foods,seasonal,36,0.9,2020-02
Louvre,Foods,seasonal,20,0.26,2020-03
Louvre,Foods,seasonal,16,-0.84,2020-04
Louvre,Foods,seasonal,30,-0.8,2020-05
Louvre,Foods,seasonal,27,0.23,2020-06
Louvre,Foods,seasonal,37,0.87,2020-07
Louvre,Foods,seasonal,23,0.93,2020-08
Louvre,Foods,seasonal,20,0.05,2020-09
Louvre,Foods,seasonal,19,0.66,2020-10
Louvre,Foods,seasonal,37,-0.55,2020-11
Louvre,Foods,seasonal,19,0.7,2020-12
Louvre,Foods,ingredients,14,-0.42,2020-01
Louvre,Foods,ingredients,37,-0.64,2020-02
Louvre,Foods,ingredients,16,0.93,2020-03
Louvre,Foods,ingredients,36,-0.89,2020-04
Louvre,Foods,ingredients,35,-0.8,2020-05
Louvre,Foods,ingredients,35,0.62,2020-06
Louvre,Foods,ingredients,16,0.44,2020-07
Louvre,Foods,ingredients,20,1.0,2020-08
Louvre,Foods,ingredients,33,0.34,2020-09
Louvre,Foods,ingredients,26,0.16,2020-10
Louvre,Foods,ingredients,24,0.92,2020-11
Louvre,Foods,ingredients,34,-0.31,2020-12
Louvre,Foods,dining,27,-0.09,2020-01
Louvre,Foods,dining,32,-0.37,2020-02
Louvre,Foods,dining,13,-0.12,2020-03
Louvre,Foods,dining,26,-0.2,2020-04
Louvre,Foods,dining,9,-0.4,2020-05
Louvre,Foods,dining,24,0.83,2020-06
Louvre,Foods,dining,13,0.9,2020-07
Louvre,Foods,dining,18,0.25,2020-08
Louvre,Foods,dining,37,0.72,2020-09
Louvre,Foods,dining,28,-0.63,2020-10
Louvre,Foods,dining,14,0.5,2020-11
Louvre,Foods,dining,15,-0.69,2020-12
Louvre,Foods,foodcourt,10,0.64,2020-01
Louvre,Foods,foodcourt,13,-0.75,2020-02
Louvre,Foods,foodcourt,11,-0.8,2020-03
Louvre,Foods,foodcourt,26,0.18,2020-04
Louvre,Foods,foodcourt,24,0.85,2020-05
Louvre,Foods,foodcourt,14,0.63,2020-06
Louvre,Foods,foodcourt,11,-0.6,2020-07
Louvre,Foods,foodcourt,17,-0.58,2020-08
Louvre,Foods,foodcourt,15,-0.84,2020-09
Louvre,Foods,foodcourt,20,-0.75,2020-10
Louvre,Foods,foodcourt,19,-0.62,2020-11
Louvre,Foods,foodcourt,27,0.76,2020-12
Louvre,Foods,chef,29,0.29,2020-01
Louvre,Foods,chef,8,0.14,2020-02
Louvre,Foods,chef,4,-0.71,2020-03
Louvre,Foods,chef,11,0.99,2020-04
Louvre,Foods,chef,26,-0.79,2020-05
Louvre,Foods,chef,23,-0.77,2020-06
Louvre,Foods,chef,21,-0.78,2020-07
Louvre,Foods,chef,5,-0.36,2020-08
Louvre,Foods,chef,8,0.03,2020-09
Louvre,Foods,chef,12,-0.83,2020-10
Louvre,Foods,chef,23,0.08,2020-11
Louvre,Foods,chef,23,0.4,2020-12
Louvre,Foods,culinary,2,-0.84,2020-01
Louvre,Foods,culinary,23,-0.58,2020-02
Louvre,Foods,culinary,8,0.61,2020-03
Louvre,Foods,culinary,23,0.59,2020-04
Louvre,Foods,culinary,9,0.13,2020-05
Louvre,Foods,culinary,7,-0.25,2020-06
Louvre,Foods,culinary,14,0.08,2020-07
Louvre,Foods,culinary,10,-0.99,2020-08
Louvre,Foods,culinary,12,0.69,2020-09
Louvre,Foods,culinary,20,-0.32,2020-10
Louvre,Foods,culinary,17,-0.34,2020-11
Louvre,Foods,culinary,27,0.44,2020-12
Louvre,Foods,appetizer,18,-0.01,2020-01
Louvre,Foods,appetizer,5,0.2,2020-02
Louvre,Foods,appetizer,3,0.21,2020-03
Louvre,Foods,appetizer,5,-0.55,2020-04
Louvre,Foods,appetizer,13,-0.75,2020-05
Louvre,Foods,appetizer,12,0.35,2020-06
Louvre,Foods,appetizer,18,0.46,2020-07
Louvre,Foods,appetizer,18,-0.55,2020-08
Louvre,Foods,appetizer,7,0.85,2020-09
Louvre,Foods,appetizer,3,-0.21,2020-10
Louvre,Foods,appetizer,12,-0.74,2020-11
Louvre,Foods,appetizer,8,-0.19,2020-12
Louvre,Foods,beverage,16,0.83,2020-01
Louvre,Foods,beverage,12,-0.66,2020-02
Louvre,Foods,beverage,12,-0.57,2020-03
Louvre,Foods,beverage,10,0.93,2020-04
Louvre,Foods,beverage,5,-0.07,2020-05
Louvre,Foods,beverage,13,-0.79,2020-06
Louvre,Foods,beverage,4,0.26,2020-08
Louvre,Foods,beverage,6,-0.41,2020-10
Louvre,Foods,beverage,14,0.04,2020-11
Louvre,Foods,beverage,12,0.55,2020-12
Louvre,Foods,homemade,46,-0.77,2020-01
Louvre,Foods,homemade,40,-0.77,2020-01
Louvre,Foods,homemade,38,-0.48,2020-02
Louvre,Foods,homemade,43,-0.48,2020-02
Louvre,Foods,homemade,35,0.01,2020-03
Louvre,Foods,homemade,31,0.01,2020-03
Louvre,Foods,homemade,44,-0.01,2020-04
Louvre,Foods,homemade,36,-0.01,2020-04
Louvre,Foods,homemade,40,-0.69,2020-05
Louvre,Foods,homemade,38,-0.69,2020-05
Louvre,Foods,homemade,32,-0.68,2020-06
Louvre,Foods,homemade,27,-0.68,2020-06
Louvre,Foods,homemade,28,-0.57,2020-07
Louvre,Foods,homemade,36,-0.57,2020-07
Louvre,Foods,homemade,41,-0.4,2020-08
Louvre,Foods,homemade,37,-0.4,2020-08
Louvre,Foods,homemade,37,-0.26,2020-09
Louvre,Foods,homemade,43,-0.26,2020-09
Louvre,Foods,homemade,45,0.25,2020-10
Louvre,Foods,homemade,40,0.25,2020-10
Louvre,Foods,homemade,44,0.91,2020-11
Louvre,Foods,homemade,47,0.91,2020-11
Louvre,Foods,homemade,39,-0.87,2020-12
Louvre,Foods,homemade,41,-0.87,2020-12
Louvre,Foods,famous,35,0.81,2020-01
Louvre,Foods,famous,41,0.35,2020-02
